ExtractSubClass(org.opensky.libadsb.ModeSDecoder;Class_1;[latestTimestamp];[decode|isAirbornePosition];[])
ExtractSubClass(org.opensky.libadsb.Decoder;Class_42;[];[];[])
PullUpField(org.opensky.libadsb.exceptions.BadFormatException;java.lang.Exception;[msg];[];[])
ExtractSubClass(java.lang.Integer;Class_43;[intCache];[byteValue|compare|lowestOneBit|numberOfTrailingZeros|reverse|shortValue|stringSize|toString|toUnsignedString|valueOf];[])
DecreaseFieldSecurity(rp1.rossum.RsSegment;;[v];[];[])
PullUpMethod(org.opensky.libadsb.msgs.EmergencyOrPriorityStatusMsg;org.opensky.libadsb.msgs.ExtendedSquitter;[];[getEmergencyStateText];[])
ExtractClass(rp1.rossum.RsVector;Class_44;[y];[subtract];[])
PullUpField(org.opensky.libadsb.msgs.AltitudeReply;org.opensky.libadsb.msgs.ModeSReply;[downlink_request];[];[])
IncreaseMethodSecurity(java.util.Random;;[];[getAltitude];[])
ExtractClass(Class_1;Class_45;[];[];[])
IncreaseFieldSecurity(java.util.Random;;[M];[];[])
PullUpField(Class_43;java.lang.Integer;[intCache];[];[])
DecreaseMethodSecurity(java.util.Random;;[];[getAltitude];[])
DecreaseFieldSecurity(org.opensky.libadsb.msgs.ExtendedSquitter;;[message];[];[])
PullUpMethod(org.opensky.libadsb.exceptions.UnspecifiedFormatError;java.lang.Exception;[];[getLabel];[])
IncreaseMethodSecurity(org.opensky.libadsb.msgs.LongACAS;;[];[hasOperatingACAS];[])
MoveField(org.opensky.example.ExampleDecoder;Class_40;[class_6];[];[])
PushDownMethod(java.lang.Exception;org.opensky.libadsb.exceptions.BadFormatException;[];[getLabel];[])
PullUpMethod(org.opensky.libadsb.exceptions.UnspecifiedFormatError;java.lang.Exception;[];[getMessage];[])
PullUpField(Class_11;Class_32;[class_34];[];[])
IncreaseMethodSecurity(me.MnC.MnC_SERVER_MOD.util.MTRandom;;[];[next];[])
PushDownField(java.lang.Exception;org.opensky.libadsb.exceptions.UnspecifiedFormatError;[msg];[];[])
PushDownField(Class_33;org.opensky.libadsb.msgs.ExtendedSquitter;[serialVersionUID];[];[])
MoveMethod(Class_18;Class_34;[];[getAltitude];[])
ExtractSuperClass(Class_23;Class_46;[];[getMAGIC_FACTOR1];[])
IncreaseMethodSecurity(Class_28;;[];[getValue];[])
IncreaseFieldSecurity(org.opensky.libadsb.exceptions.BadFormatException;;[serialVersionUID];[];[])
ExtractSubClass(me.MnC.MnC_SERVER_MOD.util.MTRandom;Class_47;[MAGIC_FACTOR3|MAGIC_MASK1|MAGIC_MASK2|ibuf|mti];[pack];[])
ExtractSubClass(Class_27;Class_48;[];[setCapabilities];[])
PullUpMethod(org.opensky.libadsb.msgs.AirbornePositionV2Msg;org.opensky.libadsb.msgs.AirbornePositionV1Msg;[];[hasNICSupplementA];[])
PushDownMethod(org.opensky.libadsb.msgs.ExtendedSquitter;org.opensky.libadsb.msgs.AirspeedHeadingMsg;[];[getEmergencyStateText];[])
PushDownField(java.lang.Exception;org.opensky.libadsb.exceptions.UnspecifiedFormatError;[reason];[];[])
PullUpMethod(java.lang.Integer;java.lang.Number;[];[intValue];[])
ExtractSuperClass(java.lang.AbstractStringBuffer;Class_49;[count];[capacity|trimToSize];[])
MoveField(java.util.Random;java.lang.Exception;[M];[];[])
PushDownField(org.opensky.libadsb.msgs.ExtendedSquitter;org.opensky.libadsb.msgs.AirborneOperationalStatusV1Msg;[format_type_code];[];[])
IncreaseMethodSecurity(org.opensky.libadsb.exceptions.BadFormatException;;[];[getLabel];[])
MoveField(Class_25;Class_20;[value];[];[])
PullUpMethod(org.opensky.libadsb.msgs.OperationalStatusV0Msg;org.opensky.libadsb.msgs.ExtendedSquitter;[];[hasOperationalTCAS];[])
DecreaseMethodSecurity(org.opensky.libadsb.exceptions.BadFormatException;;[];[getLabel];[])
PushDownField(java.lang.Exception;org.opensky.libadsb.exceptions.BadFormatException;[M];[];[])
ExtractClass(java.lang.String;Class_50;[CASE_INSENSITIVE_ORDER|CASE_INSENSITIVE_ORDER];[checkBounds|contentEquals|contentEquals|length];[])
PushDownField(java.lang.Exception;org.opensky.libadsb.exceptions.UnspecifiedFormatError;[label];[];[])
PushDownField(Class_9;Class_29;[NEARLY_ZERO];[];[])
ExtractSubClass(org.opensky.libadsb.exceptions.BadFormatException;Class_51;[M];[];[])
PullUpField(Class_51;org.opensky.libadsb.exceptions.BadFormatException;[M];[];[])
ExtractClass(org.opensky.libadsb.msgs.CommBIdentifyReply;Class_52;[flight_status|utility_msg];[getIdentityCode|getMessage|hasAlert];[])
PullUpField(Class_37;rp1.rossum.RsSegment;[serialVersionUID];[];[])
PullUpMethod(org.opensky.libadsb.exceptions.UnspecifiedFormatError;java.lang.Exception;[];[setLabel];[])
IncreaseMethodSecurity(rp1.rossum.RsRectangle;;[];[contains];[])
ExtractSubClass(Class_51;Class_53;[];[getM];[])
PushDownField(Class_10;org.opensky.libadsb.ModeSDecoder.DecoderData;[class_31];[];[])
PullUpField(org.opensky.libadsb.ModeSDecoder.DecoderData;Class_10;[class_31];[];[])
PullUpField(Class_47;me.MnC.MnC_SERVER_MOD.util.MTRandom;[MAGIC_MASK1];[];[])
IncreaseMethodSecurity(java.lang.String;;[];[getBytes];[])
ExtractSubClass(Class_11;Class_54;[class_40];[next];[])
PullUpField(java.lang.AbstractStringBuffer;Class_49;[DEFAULT_CAPACITY];[];[])
ExtractSuperClass(Class_49;Class_55;[DEFAULT_CAPACITY];[trimToSize];[])
IncreaseMethodSecurity(Class_53;;[];[getM];[])
ExtractSuperClass(org.opensky.libadsb.ModeSDecoder;Class_56;[afterLastCleanup];[getAdsbVersion];[])
PushDownField(Class_55;Class_49;[DEFAULT_CAPACITY];[];[])
IncreaseMethodSecurity(Class_9;;[];[setX];[])
ExtractClass(Class_3;Class_57;[];[getCRC_polynomial|getHexMessage|hashCode|setCRC_polynomial];[])
ExtractClass(rp1.rossum.RsPoint;Class_58;[serialVersionUID];[translate|translate];[])
