ExtractSubClass(com.housing.Database;Class_1;[mockup];[getConnection];[])
ExtractSuperClass(com.portal.Database.Worker;Class_11;[queue];[queue|run];[])
IncreaseMethodSecurity(com.antaranga.jsf.common.Navigation;;[];[redirect];[])
MoveMethod(si.gustinmi.Servlet.CachedObject;com.guru.android.WebView.BuildConfig;[];[doGet];[])
PullUpMethod(com.guru.android.WebView.HelloWebView;android.app.Activity;[];[onCreateOptionsMenu];[])
EncapsulateField(i18n.I18N;;[REFRESH];[];[])
ExtractSubClass(com.antaranga.jsf.beans.menu.MenuItem;Class_12;[DEBUG];[getText|getUri|setUri];[])
MoveMethod(com.portal.DatabaseTablesUsage;default.Tester.Builder;[];[demo];[])
ExtractSubClass(Triangle.SyntacticAnalyzer.Token;Class_13;[LET|PROC|VAR|firstReservedWord|tokenTable];[spell];[])
MoveField(Triangle.SyntacticAnalyzer.SourcePosition;si.gustinmi.Servlet;[start];[];[])
IncreaseMethodSecurity(com.antaranga.jsf.common.Navigation;;[];[redirect];[])
MoveField(com.portal.Database.Worker.Job.LogValue;com.portal.servlet.SecureServletBase;[r];[];[])
PullUpMethod(Triangle.SyntacticAnalyzer.Token;java.lang.Object;[];[toString];[])
MoveMethod(si.hibernate4servlets.AppInit;Class_5;[];[contextDestroyed];[])
ExtractSuperClass(i18n.I18N;Class_14;[BUNDLE_NAME|REFRESH];[getString];[])
IncreaseMethodSecurity(com.housing.EchoServlet;;[];[doPost];[])
ExtractSuperClass(Triangle.SyntacticAnalyzer.SourcePosition;Class_15;[servlet];[getStart];[])
ExtractClass(android.app.Activity;Class_16;[];[onCreateOptionsMenu];[])
ExtractSuperClass(si.hibernate4servlets.HibernateSessionFilter;Class_17;[];[init];[])
ExtractSubClass(com.portal.Database.Worker;Class_18;[calendar|jobAdded|jobRemoved|lock];[start];[])
ExtractClass(si.gustinmi.Servlet;Class_19;[];[getStart|setStart];[])
DecreaseFieldSecurity(com.antaranga.jsf.beans.AbstractBean;;[menuList];[];[])
MoveField(com.housing.Database;Triangle.SyntacticAnalyzer.SourcePosition;[log];[];[])
ExtractClass(com.guru.android.WebView.BuildConfig;Class_20;[];[doGet];[])
EncapsulateField(com.portal.Database.Worker.Job.LogValue;;[timestamp];[];[])
ExtractClass(com.portal.servlet.UserDetailsServlet;Class_21;[];[];[])
PushDownMethod(android.app.Activity;com.guru.android.WebView.HelloWebView;[];[onCreateOptionsMenu];[])
ExtractClass(com.guru.android.WebView.BuildConfig;Class_22;[menuitem];[setDEBUG];[])
ExtractClass(si.gustinmi.Servlet;Class_23;[];[setStart];[])
ExtractClass(com.portal.servlet.UserDetailsServlet;Class_24;[];[];[])
DecreaseFieldSecurity(com.antaranga.jsf.beans.ListBean;;[itemList];[];[])
MoveField(Triangle.SyntacticAnalyzer.Token;com.maven.web.EchoServlet;[CLASS];[];[])
DecreaseFieldSecurity(com.portal.Database.Worker.Job.LogValue;;[log];[];[])
MoveField(si.hibernate4servlets.TestEntityTest;default.Tester.Builder;[log];[];[])
PushDownField(si.hibernate4servlets.GenericDAO;si.hibernate4servlets.GenericDAOImpl.TestTableManager;[persistentClass];[];[])
PullUpMethod(com.maven.web.EchoServlet;javax.servlet.http.HttpServlet;[];[setCLASS];[])
MoveMethod(com.guru.android.WebView.BuildConfig;i18n.I18N;[];[doGet];[])
MoveField(Triangle.SyntacticAnalyzer.Token;Class_24;[IDENTIFIER];[];[])
IncreaseMethodSecurity(com.portal.Database.Worker.Job.LogValue;;[];[run];[])
PullUpMethod(com.maven.web.EchoServlet;javax.servlet.http.HttpServlet;[];[getCLASS];[])
IncreaseFieldSecurity(com.portal.DatabaseTablesUsage;;[builder];[];[])
DecreaseFieldSecurity(com.guru.android.WebView.HelloWebView.WebAppInterface;;[class_1];[];[])
MoveMethod(com.portal.NullSafety;android.app.Activity;[];[isset];[])
ExtractSubClass(com.antaranga.jsf.beans.TableItem;Class_25;[value];[getKey|setKey];[])
EncapsulateField(com.guru.android.WebView.HelloWebView.WebAppInterface;;[class_1];[];[])
ExtractSuperClass(com.guru.android.WebView.HelloWebView.WebAppInterface;Class_26;[nullsafety];[showToast];[])
ExtractSuperClass(si.hibernate4servlets.TestEntityTest;Class_27;[];[test];[])
ExtractClass(com.antaranga.jsf.beans.menu.MenuOptions;Class_28;[options];[getUserOptions|navigate];[])
ExtractSubClass(com.portal.servlet.UserDetailsServlet;Class_29;[];[];[])
ExtractClass(javax.servlet.http.HttpServlet;Class_30;[];[];[])
PushDownField(si.hibernate4servlets.GenericDAO;si.hibernate4servlets.GenericDAOImpl.TestTableManager;[log];[];[])
ExtractSubClass(Triangle.SyntacticAnalyzer.SourcePosition;Class_31;[finish];[setLog];[])
MoveMethod(i18n.I18N;si.hibernate4servlets.HibernateSessionFilter;[];[setREFRESH];[])
DecreaseFieldSecurity(com.portal.Database.Worker.Job.LogValue;;[timestamp];[];[])
IncreaseMethodSecurity(com.portal.Database.Worker.Job.LogValue;;[];[setTimestamp];[])
IncreaseFieldSecurity(com.portal.servlet.SecureServletBase;;[r];[];[])
ExtractSuperClass(si.gustinmi.Servlet.CachedObject;Class_32;[hugeCache];[getHugeCache];[])
ExtractClass(com.antaranga.jsf.beans.menu.MenuOptions;Class_33;[selectedOption];[getAdminOptions];[])
IncreaseMethodSecurity(com.portal.SessionUser;;[];[toString];[])
ExtractSubClass(i18n.I18N;Class_34;[hibernatesessionfilter];[doGet];[])
MoveField(default.Tester.Builder;com.portal.servlet.SecureServletBase;[log];[];[])
DecreaseFieldSecurity(Triangle.SyntacticAnalyzer.SourcePosition;;[log];[];[])
ExtractClass(javax.servlet.http.HttpServlet;Class_35;[];[getCLASS];[])
MoveField(si.hibernate4servlets.GenericDAOImpl.TestTableManager;default.Tester;[log];[];[])
PushDownField(javax.servlet.http.HttpServlet;com.maven.web.EchoServlet;[class_2];[];[])
ExtractClass(default.Tester.Builder;Class_36;[r];[flush|getStringBuilder|setLog];[])
ExtractSuperClass(com.portal.SessionUser;Class_37;[userName];[toString];[])
ExtractClass(default.Tester;Class_38;[];[getLog];[])
MoveField(com.portal.PageBean;android.app.Activity;[sessionUser];[];[])
MoveMethod(com.antaranga.jsf.common.Navigation;Triangle.SyntacticAnalyzer.SourcePosition;[];[redirect];[])
MoveField(Class_1;android.webkit.WebView;[mContext];[];[])
ExtractSubClass(si.gustinmi.Servlet.CachedObject;Class_39;[buildconfig];[init];[])
MoveField(si.hibernate4servlets.GenericDAOImpl.TestTableManager;com.antaranga.jsf.beans.EditBean;[persistentClass];[];[])
PushDownField(javax.servlet.http.HttpServlet;com.delavnica.HelloWWW;[CLASS];[];[])
ExtractSubClass(com.delavnica.HelloWWW;Class_40;[CLASS];[];[])
IncreaseMethodSecurity(si.hibernate4servlets.AppInit;;[];[contextDestroyed];[])
PullUpField(com.delavnica.HelloWWW;javax.servlet.http.HttpServlet;[currenttimebean];[];[])
MoveField(com.guru.android.WebView.HelloWebView.WebAppInterface;java.lang.Thread;[class_1];[];[])
MoveField(java.lang.Thread;si.gustinmi.Servlet.CachedObject;[class_1];[];[])
MoveField(com.maven.core.NullSafety;com.portal.servlet.LogoutServlet;[class_3];[];[])
IncreaseMethodSecurity(Class_11;;[];[run];[])
IncreaseFieldSecurity(com.portal.servlet.UserDetailsServlet;;[class_24];[];[])
PushDownField(Class_32;si.gustinmi.Servlet.CachedObject;[hugeCache];[];[])
ExtractSubClass(com.antaranga.jsf.beans.ListBean;Class_41;[itemList];[flush|setSelectedItem];[])
MoveField(android.webkit.WebView;java.lang.Thread;[mContext];[];[])
PullUpField(com.maven.web.EchoServlet;javax.servlet.http.HttpServlet;[activity];[];[])
PushDownMethod(com.delavnica.HelloWWW;Class_40;[];[doGet];[])
PullUpField(com.guru.android.WebView.HelloWebView.WebAppInterface;Class_26;[thread];[];[])
PullUpField(Class_41;com.antaranga.jsf.beans.ListBean;[itemList];[];[])
EncapsulateField(com.housing.AppInit;;[log];[];[])
MoveMethod(com.housing.AppInit;com.maven.web.EchoServlet;[];[getLog];[])
ExtractSubClass(com.maven.web.EchoServlet;Class_42;[];[doPost];[])
ExtractSubClass(com.guru.android.WebView.HelloWebView;Class_43;[];[onCreateOptionsMenu];[])
IncreaseFieldSecurity(si.hibernate4servlets.GenericDAOImpl.TestTableManager;;[editbean];[];[])
PullUpField(com.handmark.pulltorefresh.library.PullToRefreshWebView.InternalWebViewSDK9;android.webkit.WebView;[OVERSCROLL_FUZZY_THRESHOLD];[];[])
PullUpField(Class_1;com.housing.Database;[webview];[];[])
ExtractSubClass(java.lang.Thread;Class_44;[cachedobject];[setClass_1|setMContext];[])
PushDownMethod(Class_6;default.Tester.Builder;[];[setStringBuilder];[])
MoveMethod(Class_13;android.webkit.WebView;[];[spell];[])
PullUpMethod(Class_13;Triangle.SyntacticAnalyzer.Token;[];[spell];[])
MoveMethod(android.webkit.WebView;com.maven.web.EchoServlet;[];[getMContext];[])
ExtractClass(com.maven.web.EchoServlet;Class_45;[];[getMContext];[])
MoveMethod(Class_31;si.hibernate4servlets.EchoServlet;[];[setLog];[])
PullUpMethod(Class_18;com.portal.Database.Worker;[];[start];[])
MoveMethod(Class_42;default.Tester;[];[doPost];[])
PushDownMethod(javax.servlet.http.HttpServlet;com.maven.web.EchoServlet;[];[noData];[])
IncreaseFieldSecurity(java.lang.Thread;;[mContext];[];[])
ExtractSubClass(default.Tester;Class_46;[class_38];[setLog];[])
PushDownField(javax.servlet.http.HttpServlet;com.portal.servlet.LogoutServlet;[currenttimebean];[];[])
PushDownMethod(javax.servlet.http.HttpServlet;com.delavnica.HelloWWW;[];[getCLASS];[])
PushDownMethod(Class_15;Triangle.SyntacticAnalyzer.SourcePosition;[];[getStart];[])
PullUpField(Class_46;default.Tester;[class_38];[];[])
PushDownMethod(com.antaranga.jsf.beans.ListBean;Class_41;[];[delete];[])
