ExtractSubClass(jon.sandbox.eclipse.ui.model.library.Book;Class_1;[m_title];[setTitle];[])
ExtractClass(nl.gmt.rollbase.shared.RbAccessor.Builder.MyClassLoader;Class_6;[];[setMessage];[])
ExtractClass(jon.sandbox.eclipse.ui.viewer.PersonViewer;Class_7;[];[];[])
IncreaseMethodSecurity(cn.org.rapid_framework.generator.util.IOHelper.NullWriter;;[];[copyAndClose];[])
DecreaseMethodSecurity(com.uqbar.poo.aop.POOPropertyChangeSupport;;[];[convertProperty];[])
EncapsulateField(jon.sandbox.eclipse.ui.view.PersonView;;[ID];[];[])
PushDownField(jon.sandbox.common.ui.viewer.CommonTreeViewer;jon.sandbox.eclipse.ui.viewer.VirtualViewer;[m_menuMgr];[];[])
PullUpField(jon.sandbox.eclipse.ui.view.PersonView;org.eclipse.ui.part.ViewPart;[ID];[];[])
ExtractSuperClass(jon.sandbox.eclipse.ui.model.person.Gender;Class_8;[];[canMarry];[])
ExtractSubClass(com.example.repository.RecipesRepository;Class_9;[recipes];[isEmpty|update];[])
IncreaseMethodSecurity(com.sforce.ws.wsdl.Operation.MessageRef;;[];[getMessage];[])
PullUpField(jon.sandbox.eclipse.ui.viewer.VirtualViewer.LibraryTreeContentProvider.AuthorBookLabelProvider.LibraryTreeSorter;jon.sandbox.common.ui.viewer.TreeViewerSorter;[ms_colIndexAuthorBook];[];[])
PullUpField(jon.sandbox.eclipse.ui.model.library.Book;java.lang.Object;[dbslogger];[];[])
ExtractSubClass(jon.sandbox.code.list.SingleLinkedListMain;Class_10;[];[main];[])
IncreaseMethodSecurity(kilim.nio.ExposedBaos;;[];[toByteArray];[])
ExtractSubClass(com.sforce.ws.parser.MXSerializer;Class_11;[FEATURE_SERIALIZER_ATTVALUE_USE_APOSTROPHE|PROPERTY_SERIALIZER_INDENTATION|PROPERTY_SERIALIZER_LINE_SEPARATOR|autoDeclaredPrefixes|depth|elNamespace|out|seenBracketBracket];[ensureNamespacesCapacity|getFeature|getLocation|getPrefix|rebuildIndentationBuf|setProperty|writeAttributeValue];[])
MoveField(net.majorkernelpanic.streaming.rtp.MediaCodecInputStream;jon.sandbox.eclipse.ui.viewer.filter.PersonNameFilter;[mBuffers];[];[])
PushDownField(java.lang.Object;jon.sandbox.code.tree.BinaryTreeMain;[dbslogger];[];[])
PullUpField(jon.sandbox.eclipse.ui.viewer.filter.PersonNameFilter;org.eclipse.jface.viewers.ViewerFilter;[mBuffers];[];[])
ExtractClass(kilim.nio.ExposedBaos;Class_12;[];[toByteArray];[])
MoveMethod(kilim.nio.ExposedBaos;jon.sandbox.code.questions.group2.ScreeningQuestions;[];[toByteArray];[])
PullUpField(com.sforce.ws.wsdl.PortType.MessageRef;com.sforce.ws.wsdl.WsdlNode;[message];[];[])
EncapsulateField(com.blisscloud.util.RandomGUID;;[valueBeforeMD5];[];[])
MoveField(pkgio.MyBufferedReader;com.sforce.ws.bind.XmlObjectTest.MyDate;[r];[];[])
MoveMethod(jon.sandbox.eclipse.ui.viewer.filter.PersonNameFilter;java.beans.PropertyChangeSupport;[];[getSearchText];[])
IncreaseMethodSecurity(org.uqbar.lacar.ui.impl.jface.radiogroup.RadioGroup;;[];[getItemCount];[])
ExtractClass(com.example.models.Time;Class_13;[day|hour|second];[getMinute|getMonth];[])
ExtractSubClass(com.uqbar.poo.aop.POOPropertyChangeSupport;Class_14;[];[removePropertyChangeListener];[])
ExtractSubClass(org.uqbar.lacar.ui.impl.jface.radiogroup.RadioItem;Class_15;[button];[checkIndex|createDisposeListener|getButton|safeGetButton];[])
MoveField(jon.sandbox.code.questions.group2.ScreeningQuestions;jon.sandbox.eclipse.ui.viewer.VirtualViewer.LibraryTreeContentProvider.AuthorBookLabelProvider.LibraryTreeSorter;[m_class];[];[])
DecreaseMethodSecurity(jon.sandbox.code.questions.group3.ScreeningQuestions;;[];[containsDuplicate];[])
MoveMethod(com.example.services.ResponseHelper;org.eclipse.ui.part.ViewPart;[];[isValid];[])
MoveMethod(jon.sandbox.common.ui.viewer.CommonTableViewer;jon.sandbox.common.ui.viewer.TableViewerSorter;[];[selectItem];[])
PullUpField(com.dianping.dpsf.protocol.java.CompactObjectInputStream;java.io.ObjectInputStream;[logger];[];[])
DecreaseMethodSecurity(jon.sandbox.eclipse.ui.viewer.VirtualViewer.LibraryTreeContentProvider.AuthorBookLabelProvider.LibraryTreeSorter;;[];[doCompare];[])
IncreaseFieldSecurity(org.eclipse.ui.part.ViewPart;;[ID];[];[])
MoveField(com.sforce.ws.parser.MXSerializer;jon.sandbox.code.tree.BinaryTreeMain;[finished];[];[])
MoveField(com.sforce.ws.bind.XmlObjectTest.MyDate;jon.sandbox.eclipse.ui.viewer.edit.LastNameEditingSupport;[r];[];[])
IncreaseMethodSecurity(jon.sandbox.common.ui.helper.CommonUIHelper;;[];[isReadonlyStyle];[])
IncreaseMethodSecurity(Class_4;;[];[getName];[])
IncreaseMethodSecurity(jon.sandbox.eclipse.ui.viewer.PersonViewer.PersonViewerSorter;;[];[doCompare];[])
ExtractClass(kilim.nio.ExposedBaos;Class_16;[screeningquestions];[setCount];[])
IncreaseMethodSecurity(com.example.services.TimeService;;[];[get];[])
ExtractClass(jon.sandbox.eclipse.ui.viewer.VirtualViewer.LibraryTreeContentProvider.AuthorBookLabelProvider.LibraryTreeSorter;Class_17;[];[];[])
DecreaseMethodSecurity(com.sforce.ws.wsdl.Operation.MessageRef;;[];[getMessage];[])
IncreaseFieldSecurity(jon.sandbox.eclipse.ui.model.library.Book;;[PROPERTY_TITLE];[];[])
IncreaseMethodSecurity(cn.org.rapid_framework.generator.util.IOHelper.NullWriter;;[];[copyAndClose];[])
ExtractSubClass(jon.sandbox.eclipse.ui.viewer.edit.AgeEditingSupport;Class_18;[m_viewer];[canEdit];[])
ExtractClass(jon.sandbox.code.tree.BinaryTreeMain;Class_19;[dbslogger];[getFinished];[])
PullUpMethod(jon.sandbox.eclipse.ui.viewer.filter.PersonNameFilter;org.eclipse.jface.viewers.ViewerFilter;[];[setMBuffers];[])
ExtractSuperClass(com.example.models.Unit;Class_20;[];[toJson];[])
PullUpMethod(action.HttpServletResponseTest.OutputStreamTest;java.io.OutputStream;[];[setLocale];[])
DecreaseFieldSecurity(com.sforce.ws.bind.TypeInfo;;[type];[];[])
IncreaseMethodSecurity(jon.sandbox.common.ui.viewer.CommonViewerSorter;;[];[updateSortColumn];[])
ExtractClass(com.sforce.ws.bind.XmlObjectTest.MyDate;Class_21;[];[testSubclassWrite];[])
PushDownField(com.sforce.ws.wsdl.WsdlNode;com.sforce.ws.wsdl.PortType.MessageRef;[message];[];[])
ExtractSubClass(jon.sandbox.eclipse.ui.view.PersonView;Class_22;[];[setID];[])
ExtractClass(jon.sandbox.common.ui.helper.CommonUIHelper;Class_23;[];[displayErrorMessage|getImage|getViewerSelection|setPerspective];[])
IncreaseMethodSecurity(org.eclipse.jface.viewers.ViewerFilter;;[];[setMBuffers];[])
IncreaseMethodSecurity(com.blisscloud.util.RandomGUID;;[];[getValueBeforeMD5];[])
ExtractClass(com.blisscloud.util.RandomGUID;Class_24;[mySecureRand|valueBeforeMD5];[];[])
DecreaseFieldSecurity(jon.sandbox.eclipse.ui.viewer.filter.PersonNameFilter;;[propertychangesupport];[];[])
ExtractSubClass(org.uqbar.lacar.ui.impl.jface.radiogroup.RadioGroup;Class_25;[items|style];[addItem|addSelectionListener|changeSelectedTo|checkCompositeStyle|deselectAll|getItems|getSelection|indexOf|remove];[])
MoveField(com.dianping.dpsf.protocol.java.CompactObjectInputStream;java.io.OutputStream;[classLoader];[];[])
PullUpField(jon.sandbox.eclipse.ui.viewer.PersonViewer.PersonViewerSorter;jon.sandbox.common.ui.viewer.TableViewerSorter;[ms_initialEstimates];[];[])
DecreaseFieldSecurity(jon.sandbox.eclipse.ui.viewer.VirtualViewer;;[m_menuMgr];[];[])
PullUpMethod(pkgio.MyBufferedReader;java.io.Reader;[];[myClose];[])
ExtractSubClass(com.sforce.ws.bind.XmlObjectTest.MyDate;Class_26;[lastnameeditingsupport];[setR];[])
IncreaseMethodSecurity(action.HttpServletResponseTest.OutputStreamTest;;[];[setStatus];[])
DecreaseFieldSecurity(com.dp.nebula.wormhole.plugins.reader.salesforcereader.SOQLInfo.SOQLParserException;;[serialVersionUID];[];[])
PullUpMethod(jon.sandbox.code.questions.group3.ScreeningQuestions;java.lang.Object;[];[containsDuplicate];[])
ExtractSuperClass(com.example.services.ResponseHelperTest;Class_27;[FORMATTER|ITEMS_OK_ONE|ITEMS_PAST_USE_BY_DATE|ITEMS_UNITS_DO_NOT_MATCH|RECIPE_EXCEEDING_AMOUNT_IN_THE_FRIDGE|RECIPE_PAST_USE_BY_DATE|RECIPE_UNITS_DO_NOT_MATCH];[getRecipe_shouldReturnFridgeEmptyMessage_whenThereAreNoItemsOnTheFridge|init];[])
IncreaseFieldSecurity(com.sforce.ws.wsdl.PortType.MessageRef;;[message];[];[])
ExtractClass(jon.sandbox.code.stream.SortedStreamMain;Class_28;[personviewersorter];[output];[])
MoveMethod(java.beans.PropertyChangeSupport;com.dianping.dpsf.protocol.java.CompactObjectInputStream;[];[getSearchText];[])
DecreaseFieldSecurity(com.example.services.RecipesService;;[LOGGER];[];[])
PullUpField(com.sforce.ws.wsdl.PortType.MessageRef;com.sforce.ws.wsdl.WsdlNode;[message];[];[])
MoveField(com.sforce.ws.parser.XmlInputStream;Class_28;[EMPTY];[];[])
ExtractClass(com.sforce.ws.wsdl.SimpleType;Class_29;[name];[toString];[])
MoveMethod(com.dianping.dpsf.protocol.java.CompactObjectOutputStream;jon.sandbox.eclipse.ui.viewer.edit.FirstNameEditingSupport;[];[writeStreamHeader];[])
ExtractSuperClass(jon.sandbox.eclipse.ui.model.person.Person;Class_30;[MAX_AGE|PROPERTY_IS_MARRIED|m_age|m_isMarried|m_lastName];[addPropertyChangeListener|setGender];[])
IncreaseMethodSecurity(action.HttpServletResponseTest.OutputStreamTest;;[];[encodeURL];[])
ExtractClass(action.HttpServletResponseTest.OutputStreamTest;Class_31;[];[encodeRedirectUrl|main|sendError|setHeader];[])
MoveField(com.example.services.ItemsParser;java.beans.PropertyChangeSupport;[LOGGER];[];[])
ExtractSuperClass(com.example.repository.RecipesRepository;Class_32;[repository];[removeAll];[])
IncreaseMethodSecurity(pkgio.MyLineNumberReader;;[];[main];[])
ExtractClass(com.sforce.ws.wsdl.Types;Class_33;[];[getComplexType|getElement];[])
PullUpMethod(com.dianping.dpsf.protocol.java.CompactObjectOutputStream;java.io.ObjectOutputStream;[];[writeClassDescriptor];[])
PullUpMethod(cn.org.rapid_framework.generator.util.IOHelper.NullWriter;java.io.Writer;[];[flush];[])
ExtractSubClass(jon.sandbox.eclipse.ui.viewer.VirtualViewer.LibraryTreeContentProvider.AuthorBookLabelProvider.LibraryTreeSorter;Class_34;[];[];[])
MoveMethod(pkgio.MyLineNumberReader;com.sforce.ws.wsdl.Operation.MessageRef;[];[mySetLineNumber];[])
ExtractSubClass(com.sforce.soap.enterprise.ExtendedErrorDetails;Class_35;[];[getExtendedErrorCode];[])
ExtractClass(Class_13;Class_36;[];[];[])
ExtractSuperClass(Class_16;Class_37;[];[];[])
ExtractSuperClass(java.beans.PropertyChangeSupport;Class_38;[];[getLOGGER];[])
ExtractClass(com.sforce.ws.bind.TypeMapper;Class_39;[HTML|interfacePackagePrefix|javaXmlMapping];[deserialize|getGenerateExtendedErrorCodes|getPrefix|getXmlType];[])
PullUpField(net.majorkernelpanic.streaming.rtp.MediaCodecInputStream;java.io.InputStream;[TAG];[];[])
ExtractSubClass(kilim.nio.ExposedBaos;Class_40;[];[toByteBuffer];[])
IncreaseFieldSecurity(com.dp.nebula.wormhole.plugins.reader.salesforcereader.SOQLInfo.SOQLParserException;;[serialVersionUID];[];[])
ExtractClass(com.uqbar.poo.aop.POOPropertyChangeSupport;Class_41;[serialVersionUID];[];[])
MoveMethod(Class_15;jon.sandbox.code.list.SingleLinkedListMain;[];[setBackground];[])
MoveField(jon.sandbox.eclipse.ui.viewer.edit.GenderEditingSupport;org.eclipse.swt.widgets.Composite;[m_editor];[];[])
ExtractSuperClass(Class_2;Class_42;[];[getNamespace];[])
IncreaseMethodSecurity(com.sforce.ws.parser.MXSerializer;;[];[setFeature];[])
PullUpField(Class_15;org.uqbar.lacar.ui.impl.jface.radiogroup.RadioItem;[singlelinkedlistmain];[];[])
ExtractClass(com.webobjects.foundation.NSTimeZone;Class_43;[__ABBR_TABLE_SIZE_IN_BYTES|__ZONE_ARCHIVE_NAME|__hourFormatter|__knownTimeZones|_timeZonePeriodsCount];[__replacementTimeZoneNameForName|_initialize|abbreviation|inDaylightTime|localTimeZone|secondsFromGMT|setDefault|timeZoneForSecondsFromGMT|timeZoneWithName];[])
MoveField(Class_38;jon.sandbox.eclipse.ui.model.library.Book;[LOGGER];[];[])
ExtractSuperClass(com.example.models.Recipe;Class_44;[name];[getName|setIngredients];[])
MoveField(net.majorkernelpanic.streaming.rtp.MediaCodecInputStream;Class_14;[mBufferInfo];[];[])
IncreaseMethodSecurity(net.majorkernelpanic.streaming.rtp.MediaCodecInputStream;;[];[read];[])
ExtractSuperClass(Class_24;Class_45;[valueBeforeMD5];[getMySecureRand|setMySecureRand];[])
PushDownMethod(com.sforce.ws.bind.XmlObject;com.sforce.soap.enterprise.ExtendedErrorDetails;[];[setName];[])
IncreaseFieldSecurity(jon.sandbox.common.ui.viewer.CommonViewerSorter;;[m_curColIndex];[];[])
ExtractClass(jon.sandbox.eclipse.ui.viewer.PersonViewer.PersonViewerSorter;Class_46;[];[getMs_initialEstimates];[])
PullUpField(jon.sandbox.code.questions.group2.ScreeningQuestions;java.lang.Object;[librarytreesorter];[];[])
DecreaseFieldSecurity(Class_30;;[m_age];[];[])
ExtractClass(Class_44;Class_47;[ingredients];[getName];[])
DecreaseFieldSecurity(com.example.repository.FridgeRepositoryTest;;[ITEMS_THREE];[];[])
PullUpMethod(net.majorkernelpanic.streaming.rtp.MediaCodecInputStream;java.io.InputStream;[];[available];[])
IncreaseMethodSecurity(Class_26;;[];[setR];[])
ExtractSuperClass(Class_31;Class_48;[];[encodeRedirectURL|sendError];[])
ExtractClass(com.sforce.ws.wsdl.PortType.MessageRef;Class_49;[];[main];[])
MoveMethod(jon.sandbox.eclipse.ui.viewer.filter.PersonNameFilter;Class_34;[];[getSearchText];[])
IncreaseFieldSecurity(jon.sandbox.eclipse.ui.viewer.VirtualViewer;;[m_menuMgr];[];[])
ExtractClass(com.sforce.ws.parser.XmlInputStream;Class_50;[START_DOCUMENT|START_TAG];[getAttributeName|getAttributeValue|getLineNumber|getName|getNamespace|getPositionDescription];[])
MoveField(jon.sandbox.eclipse.ui.viewer.edit.GenderEditingSupport;Class_45;[m_viewer];[];[])
DecreaseFieldSecurity(Class_25;;[items];[];[])
ExtractClass(jon.sandbox.eclipse.ui.viewer.VirtualViewer.LibraryTreeContentProvider.AuthorBookLabelProvider.LibraryTreeSorter;Class_51;[m_class];[];[])
ExtractSuperClass(java.io.Reader;Class_52;[];[close];[])
PushDownMethod(Class_30;jon.sandbox.eclipse.ui.model.person.Person;[];[setGender];[])
IncreaseFieldSecurity(Class_19;;[dbslogger];[];[])
MoveMethod(Class_27;Class_39;[];[init];[])
MoveField(jon.sandbox.code.tree.BinaryTreeMain;cn.org.rapid_framework.generator.util.IOHelper.NullWriter;[finished];[];[])
PullUpField(nl.gmt.rollbase.shared.RbAccessor.Builder.MyClassLoader;java.lang.ClassLoader;[message];[];[])
