Abstraction	Cohesion	Complexity	Composition	Coupling	Design Size	Effectiveness	Encapsulation	Extendibility	Flexibility	Functionality	Hierarchies	Inheritance	Messaging	Polymorphism	Reusability	Standard Cohesion	Standard Complexity	Standard Coupling	TQI	Understandability
15	39	36	23	41	31	67	47	31	50	41	12	24	35	41	37	31	47	30	51	28
15	31	9	15	21	25	40	27	24	25	13	12	20	9	20	10	4	29	27	19	18
10	17	21	16	19	17	43	32	15	31	23	20	14	22	9	19	17	16	20	30	27
2	10	14	10	10	6	29	23	11	24	16	2	11	15	10	16	15	19	13	26	14
19	17	7	11	11	24	30	19	19	23	7	38	19	7	21	4	5	18	20	3	18
13	12	4	7	9	16	20	6	13	18	5	24	12	3	13	4	4	10	5	5	12
20	30	10	12	14	26	48	31	31	46	20	18	27	11	30	17	7	26	21	32	33
28	41	25	19	32	39	40	42	34	28	28	34	34	23	36	23	20	41	23	31	45
14	27	20	17	25	17	35	34	21	28	29	22	18	19	18	27	15	29	19	34	26
12	18	9	15	18	19	27	18	14	24	14	12	15	9	16	11	5	19	14	14	13
17	18	17	18	23	20	37	10	20	30	21	26	22	17	20	15	13	25	13	22	8
10	12	5	6	7	11	17	0	13	13	7	16	12	5	11	6	4	6	4	10	12
2	4	1	4	3	5	6	5	2	5	1	4	2	1	0	1	1	3	0	2	5
10	23	10	17	21	17	37	18	17	29	19	16	14	12	26	12	13	24	10	20	12
5	28	29	21	21	7	65	43	28	53	40	4	20	30	22	34	31	34	15	54	32
9	19	19	21	21	12	37	17	16	27	19	10	11	16	17	14	15	24	15	20	13
10	8	2	8	10	17	23	12	11	14	4	16	5	3	5	4	2	4	2	8	12
1	19	23	20	22	2	41	21	11	32	29	2	13	21	13	23	20	27	22	31	13
9	18	12	14	18	14	23	17	14	23	16	12	11	13	15	14	12	24	18	14	12
7	15	9	11	14	12	36	24	16	29	19	2	16	11	14	16	9	16	12	28	18
20	31	24	16	29	27	39	44	25	32	29	24	21	24	28	23	16	31	28	33	34
13	33	29	23	31	20	58	41	23	53	39	16	22	29	32	30	26	37	19	40	27
18	40	20	21	21	30	62	38	28	57	28	28	26	20	42	25	20	46	21	45	30
8	14	10	11	15	11	23	21	16	20	11	16	13	10	13	10	10	11	6	15	13
2	22	14	16	16	5	29	16	16	24	21	4	13	13	13	21	13	19	14	27	15
13	24	20	22	21	20	42	25	21	36	24	20	20	20	25	21	16	26	14	22	16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	20	28	28	29	10	46	26	12	37	35	4	13	29	17	27	24	34	28	26	13
18	25	21	18	28	22	45	42	24	36	26	24	28	22	25	20	17	30	25	33	36
6	5	8	8	7	8	18	12	6	15	8	12	5	8	5	5	7	7	6	7	9
2	2	3	3	3	3	6	5	2	6	5	2	1	3	1	3	3	2	2	6	6
3	5	1	4	4	7	7	2	3	6	1	6	2	1	5	1	1	3	3	1	1
6	1	4	4	4	9	13	6	7	7	5	6	8	4	4	3	3	7	5	5	8
5	19	15	13	15	9	40	26	20	36	24	4	16	13	23	20	12	24	12	31	16
14	17	14	16	21	20	44	20	27	33	24	16	24	14	23	12	12	21	22	23	15
4	23	22	21	22	7	43	30	15	37	28	6	18	23	18	24	17	30	23	36	18
29	34	21	16	26	34	43	36	39	29	30	28	36	22	37	21	15	34	25	29	40
5	23	23	21	24	6	45	31	12	41	30	8	14	23	19	27	19	28	20	35	15
9	26	18	23	27	19	43	29	17	38	23	6	18	18	26	16	18	30	23	23	19
8	18	20	18	20	11	36	23	13	34	27	8	13	21	16	22	19	26	13	28	15
9	28	16	21	23	19	35	26	18	32	21	14	14	16	28	18	11	23	19	21	17
10	27	27	30	30	17	50	37	20	42	36	14	18	29	21	31	27	34	30	37	25
14	19	17	19	20	19	42	15	25	33	17	28	24	17	23	16	15	27	15	20	18
18	29	17	20	23	22	42	24	27	37	26	20	28	20	32	20	14	28	23	25	13
8	13	13	13	14	9	29	13	14	12	16	16	14	13	14	11	8	19	14	14	3
6	5	0	3	3	9	10	0	8	6	0	10	7	0	7	0	0	7	5	1	2
13	18	14	15	17	17	42	27	23	32	22	10	20	13	23	16	12	24	19	23	21
4	5	7	3	3	4	13	7	6	9	7	4	5	7	4	6	5	6	3	8	8
14	20	11	12	17	18	32	23	22	25	15	16	16	11	17	9	10	22	19	16	17
8	27	21	23	27	15	41	27	15	36	30	10	16	21	23	27	21	27	13	33	14
7	13	8	9	8	8	22	7	15	13	13	6	14	9	10	12	5	18	14	12	11
14	16	9	14	14	20	30	21	21	23	14	18	18	11	20	12	8	19	8	13	12
11	27	16	15	20	15	43	30	22	30	25	10	21	16	22	19	13	26	14	29	20
9	19	17	12	18	14	35	28	16	27	20	12	16	18	14	15	16	23	16	23	21
8	33	38	33	36	11	62	36	24	50	43	14	28	37	32	33	28	45	32	41	18
18	28	14	11	15	19	45	25	28	43	24	20	24	17	27	22	10	29	18	32	22
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	45	16	19	25	32	66	44	39	63	31	22	36	20	44	28	12	45	34	38	28
15	28	17	14	15	18	43	21	26	33	26	24	24	19	20	26	15	27	13	28	21
10	16	6	7	7	11	19	14	11	17	8	20	11	6	15	8	4	13	5	9	9
14	40	20	26	26	26	53	37	31	47	33	18	26	23	34	28	19	39	24	32	25
13	22	18	19	19	17	40	25	18	29	21	16	17	16	13	16	16	29	25	22	31
8	20	19	21	22	12	39	19	16	33	28	14	16	22	18	23	18	26	9	30	12
14	37	19	17	21	19	56	36	26	46	31	16	24	22	34	23	18	37	27	36	25
12	28	22	21	23	17	47	32	22	44	32	14	21	22	27	30	19	29	20	35	31
21	16	11	16	16	28	32	22	23	25	14	30	20	12	21	9	11	22	13	14	24
4	24	30	25	26	7	53	39	15	47	40	2	15	30	23	32	21	33	25	41	23
6	14	15	15	17	9	37	21	15	26	19	4	15	15	15	14	11	22	19	24	15
1	3	1	3	3	4	6	4	1	6	1	2	1	1	2	1	1	2	1	2	2
14	23	20	20	20	18	46	36	21	43	25	16	23	22	20	24	20	28	19	38	35
1	16	23	19	22	1	40	25	16	35	27	2	13	22	14	24	21	24	19	36	15
8	35	29	32	29	17	54	38	23	51	34	16	17	28	32	30	19	46	31	35	26
1	3	0	1	1	2	3	1	2	3	2	2	2	0	3	1	0	2	3	2	0
16	20	20	18	22	21	44	30	26	37	24	20	21	19	20	21	18	28	16	29	27
12	33	22	29	33	21	51	24	24	42	31	14	18	22	27	26	16	40	28	30	20
6	26	22	19	20	11	49	38	20	45	30	8	18	22	18	27	20	25	21	41	29
13	30	25	22	23	17	52	44	28	41	26	8	21	25	26	23	20	38	29	38	30
3	21	21	16	18	5	39	24	19	32	27	4	12	21	14	25	20	25	17	38	27
11	31	27	26	27	16	61	38	27	51	36	8	22	28	30	33	24	36	24	45	28
6	22	19	19	19	11	41	31	17	35	26	2	13	20	16	23	17	24	15	34	27
16	27	15	19	24	21	40	33	20	32	18	24	22	13	20	18	14	29	20	19	22
4	21	26	27	28	5	47	29	14	37	30	8	14	23	18	23	21	33	27	31	16
6	20	29	29	29	9	42	18	16	32	33	4	12	29	18	26	23	31	22	31	14
7	30	23	26	26	13	47	32	20	41	35	4	20	27	21	34	22	38	27	40	22
15	34	25	27	32	22	57	31	29	48	35	18	27	24	33	23	20	42	30	34	26
19	34	27	28	31	23	64	36	32	48	41	26	28	28	30	31	23	42	27	37	27
4	17	21	22	25	9	30	23	13	27	22	6	13	17	13	18	18	33	25	19	13
0	2	1	1	1	0	2	0	2	2	2	0	2	1	2	2	1	2	0	2	0
1	17	18	18	18	1	22	14	8	19	22	2	8	14	12	18	11	23	19	17	9
18	25	23	28	29	25	44	31	20	35	24	6	17	24	21	19	18	33	27	23	27
9	19	10	5	14	15	30	20	18	22	18	2	17	10	21	15	10	21	14	21	14
28	52	28	32	36	43	73	48	44	60	38	30	38	24	50	29	22	48	34	38	35
17	25	20	17	24	18	51	32	28	42	25	18	24	20	28	20	19	33	26	34	28
8	23	8	10	13	11	29	9	17	27	20	8	18	7	21	14	10	22	16	23	3
16	28	12	18	21	23	43	29	29	44	25	18	26	13	26	22	10	32	26	29	27
3	17	18	16	16	4	35	20	14	33	28	2	13	20	11	26	17	25	13	37	19
7	39	33	29	29	10	55	44	29	56	41	6	12	32	37	37	31	42	28	49	18
11	17	10	13	12	17	35	21	21	26	14	10	17	10	20	13	10	23	14	18	19
1	19	28	18	18	2	42	26	15	39	33	2	11	27	10	33	25	29	18	40	26
18	31	21	24	25	23	48	31	27	42	26	24	23	21	30	23	19	36	26	27	24
6	27	27	23	23	11	52	37	25	45	38	4	21	26	25	33	21	37	25	44	28
8	15	6	8	9	11	22	13	13	20	12	2	12	8	14	8	6	16	10	12	7
13	27	22	21	26	18	50	38	23	39	29	12	22	23	24	20	21	34	23	25	25
1	26	30	25	27	1	48	28	12	42	42	2	15	32	17	39	26	34	26	46	22
5	5	4	6	6	8	15	11	5	11	5	6	4	4	3	3	2	6	6	9	12
1	1	1	3	3	3	4	4	1	4	2	2	1	1	1	2	1	2	1	1	3
6	32	25	25	28	11	52	24	22	44	37	6	22	24	26	27	24	38	23	44	17
4	5	3	3	3	5	10	7	7	9	5	4	5	3	7	5	2	5	5	4	3
10	9	10	11	10	14	23	17	13	19	12	10	13	11	14	12	9	11	7	13	10
4	24	24	21	21	4	39	25	19	33	28	4	18	21	21	24	23	34	19	30	12
10	28	37	24	31	15	68	49	30	56	43	8	27	36	30	35	30	39	27	51	37
3	26	33	26	31	4	55	35	20	48	40	4	21	30	24	31	31	31	32	43	19
6	23	11	6	6	7	35	22	22	35	21	8	15	13	22	17	10	24	16	29	16
14	24	26	24	27	15	54	31	22	46	30	18	23	26	24	19	24	36	21	31	16
3	8	7	3	3	3	20	18	9	18	7	4	3	7	7	7	7	7	5	17	12
4	3	0	4	4	8	6	2	6	3	2	2	6	0	3	2	0	2	0	2	7
15	15	10	7	12	17	16	14	18	13	15	8	16	11	17	11	8	13	11	14	19
10	10	6	10	10	14	21	3	11	15	7	16	10	6	11	7	10	11	7	5	1
7	6	4	4	4	7	11	0	7	9	5	14	7	4	5	4	4	3	1	9	5
2	19	11	8	8	5	29	16	16	21	17	4	12	11	15	16	8	17	14	24	8
2	5	4	6	7	6	10	7	3	5	6	2	2	4	5	4	4	4	6	3	6
8	28	23	19	19	9	47	28	24	40	32	4	18	24	24	29	20	32	19	37	20
7	14	8	11	11	11	25	15	12	23	11	6	10	8	13	10	9	13	9	14	11
9	29	25	16	24	15	53	43	20	46	29	16	16	25	28	28	24	30	27	47	27
3	9	4	6	6	5	9	0	6	8	7	4	4	5	4	6	4	4	1	6	8
12	22	16	20	21	17	38	17	22	27	21	20	22	17	18	11	13	34	20	18	13
13	31	26	24	29	14	46	28	26	34	36	14	26	25	28	24	20	35	27	31	18
16	22	9	14	10	25	41	32	25	35	15	22	26	8	24	16	10	26	16	23	35
18	32	23	23	27	23	61	36	28	52	32	26	24	24	33	28	21	43	30	35	21
4	4	0	3	4	7	4	0	4	3	0	8	3	0	4	0	1	2	1	2	5
13	22	19	16	17	16	46	23	25	37	25	10	26	17	23	19	12	32	24	25	25
19	39	24	35	35	35	54	44	26	53	33	18	19	28	36	24	24	38	29	29	38
16	30	19	8	18	20	39	30	33	35	33	14	27	21	31	28	17	34	19	35	29
31	40	23	16	27	41	60	51	40	51	28	36	34	22	43	27	20	41	33	30	46
6	19	14	13	15	8	43	29	21	41	24	4	17	15	22	18	10	21	17	35	21
1	26	30	26	27	1	47	25	19	41	42	0	19	30	19	33	25	33	30	39	15
18	29	18	12	17	21	46	32	30	37	26	20	22	19	32	23	17	36	28	28	16
14	21	11	6	11	21	21	18	15	23	12	24	12	11	18	10	11	19	6	12	23
7	5	2	3	3	9	9	6	8	4	4	12	5	2	3	4	2	6	3	3	7
11	44	17	19	26	16	58	34	35	52	36	10	31	18	38	27	16	35	29	41	27
7	33	30	22	29	10	60	41	29	54	43	14	26	29	29	34	24	45	35	47	28
12	34	18	19	19	18	47	27	27	41	32	6	23	21	34	24	15	34	24	29	24
7	27	25	19	26	12	57	40	25	46	33	12	24	24	25	30	22	37	24	45	29
3	26	27	22	27	4	50	27	25	42	40	6	23	25	21	30	22	38	24	38	20
9	19	10	14	13	14	26	6	11	18	8	18	10	8	15	6	6	20	10	8	6
8	30	27	22	29	13	53	43	23	44	35	10	20	26	23	30	23	34	29	40	29
4	28	26	21	30	9	52	28	27	45	37	2	25	26	21	31	25	36	26	42	24
7	20	12	15	19	13	38	26	14	30	19	10	14	12	19	13	10	20	10	21	19
20	40	34	23	44	38	54	52	34	56	38	20	30	33	38	33	28	49	39	46	38
22	32	12	14	20	27	43	27	22	37	18	38	19	13	31	17	13	35	19	28	22
4	15	14	12	13	7	21	20	7	21	22	2	7	16	5	22	12	21	16	23	20
22	27	6	11	18	27	38	21	28	30	13	28	26	5	31	11	8	26	17	15	16
17	39	29	32	35	24	53	47	25	49	34	10	26	30	33	30	26	41	26	36	28
17	15	4	14	15	27	21	23	20	21	7	10	15	4	13	8	6	18	15	14	31
11	18	7	10	11	15	25	16	15	23	11	12	14	8	14	12	7	19	12	18	21
10	18	4	13	14	19	25	12	12	17	7	14	8	4	11	5	4	17	14	6	12
10	23	33	23	29	15	48	36	22	41	39	12	18	33	23	29	28	25	25	39	27
12	11	8	12	16	17	24	0	12	8	8	24	7	8	10	3	8	14	12	2	5
26	40	26	33	41	37	61	40	33	42	31	40	27	26	39	23	20	43	32	24	27
22	43	32	29	33	25	60	44	33	51	38	24	32	32	33	34	28	50	38	37	27
15	22	16	18	24	23	36	33	14	36	19	8	14	16	21	14	16	31	26	23	31
1	5	3	4	4	4	10	8	5	9	4	2	2	3	6	3	4	4	3	6	4
2	23	24	20	22	3	38	28	14	36	33	0	12	25	20	31	22	28	22	36	14
7	14	4	10	12	14	13	15	10	13	6	4	9	4	9	8	5	14	9	9	20
11	23	31	19	21	12	52	39	32	41	39	12	32	30	25	36	31	34	20	45	26
3	4	1	3	5	5	9	6	4	6	4	4	4	3	5	3	1	4	3	6	5
9	27	23	21	25	12	37	29	19	31	29	10	18	21	23	22	21	37	23	32	16
